Barcode	clid	CellLineName	Tissue	ReferenceDivisionTime	Gnumber	DrugName	drug_moa	Concentration	Gnumber_2	DrugName_2	drug_moa_2	Concentration_2	ReadoutValue	BackgroundValue	Duration
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_1	CL00013	cellline_DA	tissue_x	34	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_2	CL00011	cellline_BA	tissue_x	26	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
plate_2	CL00012	cellline_CA	tissue_x	30	vehicle	vehicle	vehicle	0	vehicle	vehicle	vehicle	0	100	0	72
